DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20161119 165 125 133 9 1.8 65 49 6 1
20161120 70 51 0 4 1.1 41 25 7 1
20161121 30 10 21 3 0.4 15 60 1 0
20161122 28 8 21 4 0.4 21 55 2 0
20161123 44 19 33 8 0.6 35 43 3 0
20161124 102 76 107 18 1.5 70 25 4 0
20161125 214 164 205 24 2.6 97 8 5 0
20161126 315 265 361 22 3.5 117 13 6 1
20161127 68 49 80 7 0.9 45 58 7 1
20161128 97 63 101 18 1.7 77 16 1 0
20161129 129 98 146 26 2.6 81 4 2 0
20161130 117 88 128 15 2.1 67 53 3 0
20161201 60 33 56 9 0.8 48 57 4 0
20161202 129 98 131 19 2.1 85 17 5 0
20161203 259 209 272 24 3.4 113 10 6 1
20161204 302 252 284 18 3.6 104 17 7 1
20161205 60 43 50 8 1 43 61 1 0
20161206 112 84 128 21 2.3 92 11 2 0
20161207 170 129 169 23 2.7 100 15 3 0
20161208 114 86 119 11 1.7 53 66 4 0
20161209 54 25 45 9 0.8 43 48 5 0
20161210 80 49 74 14 1.4 64 24 6 1
20161211 219 169 204 35 3.5 101 8 7 1
20161212 271 221 240 39 3 103 15 1 0
20161213 68 49 32 9 1.2 50 43 2 0
20161214 58 28 51 11 0.8 46 43 3 0
20161215 54 27 53 10 0.9 43 59 4 0
20161216 149 114 149 22 2.2 92 14 5 0
20161217 246 196 224 32 3.3 104 11 6 1
20161218 271 221 239 25 3.5 102 14 7 1
20161219 273 223 253 22 4.1 111 14 1 0
20161220 418 376 415 8 8 135 6 2 0
20161221 431 396 415 12 8 155 9 3 0
20161222 79 58 57 6 1.3 35 59 4 0
20161223 62 34 65 9 0.8 49 39 5 0
20161224 160 122 152 26 2.7 90 10 6 1
20161225 195 146 168 30 2.8 96 5 7 1
20161226 59 41 45 15 0.9 47 50 1 0
20161227 59 42 63 9 0.9 45 51 2 0
20161228 87 64 64 10 1.1 42 45 3 0
20161229 88 65 94 12 1.1 53 31 4 0
20161230 262 212 255 19 3.3 100 8 5 0
20161231 351 301 356 21 4.6 129 8 6 1
20170101 470 454 516 8 6.7 141 6 7 1
20170102 248 198 332 13 3.8 102 38 1 1
20170103 348 298 386 17 5.9 144 17 2 0
20170104 389 339 435 18 7.4 150 13 3 0
20170105 270 220 303 16 5.3 109 11 4 0
20170106 248 198 199 25 4.3 108 14 5 0
20170107 216 166 171 18 3.3 82 10 6 1
20170108 54 34 58 10 0.9 34 55 7 1
20170109 62 36 74 7 0.8 39 49 1 0
20170110 45 25 45 8 0.7 36 61 2 0
20170111 94 57 83 19 1.6 75 18 3 0
20170112 62 41 61 12 0.9 49 48 4 0
20170113 34 8 22 5 0.4 22 68 5 0
20170114 57 20 42 11 0.9 45 50 6 1
20170115 73 53 71 11 1 50 31 7 1
20170116 123 93 106 18 1.7 67 8 1 0
20170117 178 134 153 21 2.1 73 19 2 0
20170118 64 38 60 10 0.8 51 38 3 0
20170119 69 44 87 14 1.2 37 67 4 0
20170120 45 25 41 9 0.8 36 59 5 0
20170121 46 24 46 9 0.7 29 72 6 1
20170122 53 25 37 12 0.8 42 50 7 0
20170123 62 36 51 14 1 49 44 1 0
20170124 118 89 107 29 2.1 76 28 2 0
20170125 228 178 185 39 3.3 94 29 3 0
20170126 202 152 113 26 2.5 61 70 4 0
20170127 104 78 133 25 0.8 31 76 5 1
20170128 395 345 423 84 2.7 71 26 6 1
20170129 56 30 61 9 0.6 15 71 7 1
20170130 43 29 43 11 0.6 22 72 1 1
20170131 102 76 82 27 1.3 42 60 2 1
20170201 55 38 59 16 0.6 28 67 3 1
20170202 108 81 105 30 1.6 63 50 4 1
20170203 216 166 196 45 2.7 87 49 5 0
20170204 295 245 300 49 3.2 93 55 6 0
20170205 43 12 18 7 0.5 25 85 7 1
20170206 38 15 28 8 0.5 30 70 1 0
20170207 107 80 98 21 1.6 62 37 2 0
20170208 42 29 41 7 0.7 25 80 3 0
20170209 41 7 22 3 0.3 12 81 4 0
20170210 43 7 23 3 0.3 17 85 5 0
20170211 73 53 73 21 0.9 49 75 6 1
20170212 140 107 138 42 2.4 81 41 7 1
20170213 113 85 118 25 2.1 70 67 1 0
20170214 233 183 184 31 2.9 99 19 2 0
20170215 282 232 185 38 3.2 110 46 3 0
20170216 129 98 41 18 1.3 52 68 4 0
20170217 49 24 49 8 0.6 32 78 5 0
20170218 117 88 124 27 1.7 77 50 6 1
20170219 124 94 138 23 1.4 59 84 7 1
20170220 37 12 34 5 0.5 27 74 1 0
20170221 83 61 90 15 1.3 58 33 2 0
20170222 100 75 38 7 1 40 71 3 0
20170223 43 19 34 7 0.6 34 77 4 0
20170224 58 25 39 9 0.8 46 75 5 0
20170225 43 11 23 6 0.5 32 85 6 1
20170226 68 29 49 10 0.8 54 71 7 1
20170227 99 66 96 17 1.4 79 52 1 0
20170228 43 14 29 6 0.5 34 86 2 0
20170301 47 8 41 3 0.3 13 93 3 0
20170302 68 40 80 13 0.9 54 68 4 0
20170303 109 82 142 23 1.4 68 59 5 0
20170304 115 87 111 26 1.6 74 81 6 1
20170305 42 12 33 4 0.4 19 84 7 1
20170306 45 16 45 6 0.6 34 80 1 0
20170307 40 7 24 3 0.3 15 80 2 0
20170308 45 10 30 3 0.4 24 90 3 0
20170309 49 13 35 4 0.5 39 82 4 0
20170310 80 34 66 12 0.8 64 85 5 0
20170311 66 44 81 15 0.8 48 87 6 1
20170312 44 7 28 3 0.3 13 87 7 1
20170313 44 11 30 5 0.4 32 87 1 0
20170314 54 21 52 8 0.6 43 85 2 0
20170315 88 65 97 22 1.1 69 76 3 0
20170316 148 113 156 25 1.3 87 80 4 0
20170317 163 124 167 19 1.1 71 77 5 0
20170318 195 146 179 16 1.2 68 135 6 1
20170319 272 222 248 33 2 81 145 7 1
20170320 180 136 196 19 1.4 73 60 1 0
20170321 115 87 122 7 0.8 47 98 2 0
20170322 179 135 174 19 1.3 80 74 3 0
20170323 159 121 116 6 1.6 59 54 4 0
20170324 82 60 0 2 1 49 49 5 0
20170325 49 34 29 3 0.8 35 83 6 1
20170326 45 12 28 3 0.3 23 90 7 1
20170327 45 17 37 3 0.4 35 90 1 0
20170328 82 60 95 9 0.6 51 101 2 0
20170329 148 113 140 11 0.9 64 106 3 0
20170330 114 86 134 16 1.2 56 82 4 0
20170331 48 20 48 4 0.4 34 89 5 0
20170401 69 31 78 7 0.6 55 86 6 0
20170402 93 68 113 14 1.1 74 96 7 1
20170403 165 125 172 21 1.2 78 154 1 1
20170404 163 124 149 19 1.1 60 100 2 1
20170405 83 61 76 5 0.6 29 128 3 0
20170406 129 98 134 6 0.9 45 125 4 0
20170407 102 76 123 8 0.8 48 74 5 0
20170408 104 78 138 7 1 63 60 6 1
20170409 87 64 104 7 0.9 47 95 7 1
20170410 89 66 120 9 0.7 59 91 1 0
20170411 59 27 68 4 0.4 34 95 2 0
20170412 71 29 92 5 0.6 52 93 3 0
20170413 92 54 134 14 1.1 66 76 4 0
20170414 93 59 136 6 0.9 67 98 5 0
20170415 71 36 92 5 0.5 52 117 6 1
20170416 128 97 178 17 1 72 107 7 1
20170417 162 123 219 8 0.9 56 94 1 0
20170418 66 24 82 2 0.3 22 97 2 0
20170419 89 44 119 7 0.8 71 35 3 0
20170420 70 37 90 3 0.7 44 89 4 0
20170421 57 19 63 2 0.3 23 102 5 0
20170422 87 45 124 8 0.5 44 120 6 1
20170423 63 24 76 4 0.4 24 113 7 1
20170424 67 34 84 5 0.5 31 111 1 0
20170425 41 13 41 3 0.3 26 76 2 0
20170426 52 14 41 3 0.3 30 102 3 0
20170427 55 15 50 2 0.3 35 105 4 0
20170428 63 23 68 3 0.4 39 115 5 0
20170429 79 40 107 3 0.4 43 124 6 1
20170430 108 50 165 5 0.5 44 136 7 1
20170501 81 39 111 8 0.7 46 121 1 1
20170502 129 61 134 10 1 53 191 2 0
20170503 93 69 118 9 0.8 47 118 3 0
20170504 500 359 820 2 0.3 23 100 4 0
20170505 411 172 511 4 0.3 24 89 5 0
20170506 74 33 97 3 0.4 37 112 6 1
20170507 82 28 78 5 0.4 41 138 7 1
20170508 102 56 114 8 0.6 55 162 1 0
20170509 100 44 97 7 0.5 26 160 2 0
20170510 79 39 75 4 0.5 32 134 3 0
20170511 92 30 134 3 0.3 32 98 4 0
20170512 109 45 168 5 0.4 26 142 5 0
20170513 63 19 76 2 0.3 18 90 6 1
20170514 68 12 38 2 0.3 16 121 7 1
20170515 80 22 65 7 0.6 26 136 1 0
20170516 127 43 91 10 0.6 31 189 2 0
20170517 184 63 121 9 0.7 37 249 3 0
20170518 201 81 147 11 0.8 51 270 4 0
20170519 185 82 153 9 0.8 40 250 5 0
20170520 169 57 128 9 0.7 38 234 6 1
20170521 113 56 93 15 0.9 27 174 7 1
20170522 54 37 58 7 1.1 37 52 1 0
20170523 70 19 40 3 0.4 36 123 2 0
20170524 82 17 55 4 0.4 46 138 3 0
20170525 100 21 84 6 0.6 39 160 4 0
20170526 149 46 98 9 0.6 51 213 5 0
20170527 191 69 121 21 1.3 47 256 6 0
20170528 187 88 140 17 1.4 36 252 7 1
20170529 70 28 89 8 0.7 26 108 1 1
20170530 99 42 72 3 0.7 39 158 2 1
20170531 140 65 106 4 0.8 45 203 3 0
20170601 120 23 58 5 0.6 30 181 4 0
20170602 56 22 62 11 1 38 69 5 0
20170603 81 29 58 5 0.7 38 137 6 1
20170604 138 48 93 11 0.6 51 201 7 1
20170605 146 65 117 16 0.9 61 210 1 0
20170606 53 37 50 2 0.5 25 94 2 0
20170607 93 47 57 3 0.6 32 151 3 0
20170608 72 25 56 3 0.6 57 116 4 0
20170609 145 29 91 5 0.6 51 209 5 0
20170610 80 21 70 11 0.8 34 136 6 1
20170611 120 33 86 7 0.7 49 181 7 1
20170612 87 35 80 17 1.1 45 144 1 0
20170613 90 41 68 5 0.8 44 147 2 0
20170614 120 37 65 3 0.7 48 182 3 0
20170615 156 38 94 3 0.7 56 221 4 0
20170616 158 59 129 7 0.6 41 223 5 0
20170617 199 82 159 11 0.9 36 264 6 1
20170618 187 70 130 11 0.8 31 252 7 1
20170619 151 37 74 3 0.6 27 216 1 0
20170620 155 31 64 4 0.6 27 220 2 0
20170621 156 48 99 8 0.9 28 221 3 0
20170622 52 33 0 2 0.8 25 102 4 0
20170623 51 19 0 2 0.7 20 101 5 0
20170624 65 21 40 3 0.5 23 117 6 1
20170625 103 26 46 2 0.5 33 163 7 1
20170626 131 24 49 2 0.5 39 194 1 0
20170627 198 70 104 7 0.8 40 263 2 0
20170628 183 97 129 8 1.2 43 248 3 0
20170629 138 56 89 6 0.8 31 201 4 0
20170630 194 71 114 3 0.8 39 259 5 0
20170701 191 90 137 5 1 42 256 6 1
20170702 181 88 111 7 1 33 246 7 1
20170703 120 60 78 3 0.8 30 182 1 0
20170704 94 47 63 3 0.8 39 152 2 0
20170705 134 80 87 3 1 37 197 3 0
20170706 94 70 82 4 1.4 32 92 4 0
20170707 113 32 55 3 0.7 20 174 5 0
20170708 156 42 72 2 0.7 31 221 6 1
20170709 169 73 101 3 1 29 234 7 1
20170710 132 25 57 2 0.5 34 195 1 0
20170711 205 48 94 4 0.8 44 288 2 0
20170712 186 73 131 4 0.9 39 251 3 0
20170713 130 61 93 4 0.8 23 193 4 0
20170714 125 34 71 3 0.7 34 187 5 0
20170715 94 36 53 2 0.9 27 152 6 1
20170716 169 67 88 3 1.2 34 234 7 1
20170717 118 54 71 3 1 29 179 1 0
20170718 87 60 92 3 0.9 27 144 2 0
20170719 107 74 86 2 0.8 25 167 3 0
20170720 128 97 115 2 0.8 31 170 4 0
20170721 50 22 26 2 0.7 27 99 5 0
20170722 40 23 40 2 0.6 31 76 6 1
20170723 62 44 64 2 0.7 39 104 7 1
20170724 57 40 55 2 0.8 41 44 1 0
20170725 80 32 53 4 0.8 34 135 2 0
20170726 42 23 41 2 0.7 32 84 3 0
20170727 62 41 67 3 0.9 49 106 4 0
20170728 69 28 61 2 0.7 44 122 5 0
20170729 90 32 61 2 0.7 39 147 6 1
20170730 125 38 68 3 0.7 36 187 7 1
20170731 194 80 105 2 1 36 259 1 0
20170801 89 66 82 2 0.9 30 143 2 0
20170802 55 33 59 4 1.1 25 89 3 0
20170803 90 22 62 2 0.6 20 148 4 0
20170804 107 21 45 3 0.6 38 167 5 0
20170805 131 27 58 3 0.6 34 194 6 1
20170806 78 17 37 2 0.5 31 133 7 1
20170807 88 11 37 2 0.4 31 145 1 0
20170808 155 29 70 3 0.7 39 220 2 0
20170809 98 24 43 2 0.6 27 157 3 0
20170810 123 64 91 2 0.8 33 185 4 0
20170811 117 88 129 2 1.1 38 135 5 0
20170812 48 32 39 2 0.8 38 83 6 1
20170813 57 40 51 2 0.9 37 96 7 1
20170814 91 28 43 2 0.8 27 149 1 0
20170815 103 55 78 5 0.9 32 163 2 0
20170816 80 55 67 2 0.9 37 136 3 0
20170817 90 22 40 2 0.7 28 148 4 0
20170818 73 53 76 3 1.2 55 119 5 0
20170819 70 42 54 2 1 33 123 6 1
20170820 95 60 73 3 1.2 38 153 7 1
20170821 130 72 98 2 1 39 193 1 0
20170822 97 72 0 2 0.9 35 94 2 0
20170823 55 20 34 2 0.7 28 106 3 0
20170824 50 14 43 2 0.5 40 79 4 0
20170825 49 10 38 3 0.4 39 77 5 0
20170826 60 15 56 3 0.5 48 51 6 1
20170827 38 17 30 2 0.5 28 75 7 1
20170828 35 19 29 2 0.5 28 66 1 0
20170829 51 17 51 4 0.5 37 84 2 0
20170830 88 52 87 4 0.8 44 145 3 0
20170831 110 83 103 2 0.9 35 115 4 0
20170901 185 139 157 3 1.5 41 140 5 0
20170902 135 103 93 3 1.1 34 137 6 1
20170903 97 58 82 4 0.8 32 156 7 1
20170904 115 87 110 4 0.9 36 148 1 0
20170905 56 39 62 3 0.7 37 83 2 0
20170906 65 16 50 3 0.5 41 118 3 0
20170907 140 48 105 3 0.8 49 203 4 0
20170908 180 117 152 4 1.2 43 245 5 0
20170909 133 101 118 7 1.8 34 169 6 1
20170910 122 92 112 4 1.2 43 83 7 1
20170911 50 18 38 2 0.5 40 87 1 0
20170912 66 22 61 2 0.5 45 119 2 0
20170913 120 73 128 6 1.1 59 182 3 0
20170914 112 84 121 5 1 51 157 4 0
20170915 80 59 100 4 0.9 63 117 5 0
20170916 120 91 124 4 1.1 63 150 6 1
20170917 45 11 38 3 0.4 36 86 7 1
20170918 75 23 74 3 0.6 58 130 1 0
20170919 58 12 48 3 0.5 46 81 2 0
20170920 62 14 57 3 0.4 49 89 3 0
20170921 99 58 122 8 1 79 134 4 0
20170922 72 24 94 2 0.5 41 81 5 0
20170923 121 50 192 7 0.9 75 101 6 1
20170924 104 64 158 4 1 62 141 7 1
20170925 103 77 130 8 1.5 47 131 1 0
20170926 65 47 68 2 0.7 43 55 2 0
20170927 62 28 61 4 1 49 28 3 0
20170928 39 10 39 4 0.3 30 64 4 0
20170929 92 45 102 5 0.8 73 65 5 0
20170930 147 112 152 5 1.2 69 110 6 0
20171001 92 68 76 2 0.7 49 93 7 1
20171002 45 13 45 4 0.5 35 37 1 1
20171003 44 16 41 2 0.4 35 51 2 1
20171004 56 30 62 5 0.6 40 69 3 1
20171005 75 55 79 5 0.7 41 85 4 1
20171006 90 67 90 6 0.8 50 87 5 1
20171007 149 114 127 3 1.1 75 14 6 1
20171008 163 124 122 3 1.2 68 8 7 1
20171009 40 28 10 3 0.6 30 35 1 0
20171010 25 6 11 4 0.4 20 40 2 0
20171011 37 11 23 3 0.4 29 42 3 0
20171012 50 21 38 3 0.5 40 38 4 0
20171013 63 38 55 2 0.8 50 49 5 0
20171014 54 15 34 3 0.6 43 24 6 1
20171015 69 50 71 3 1 42 45 7 1
20171016 57 40 60 4 0.9 42 56 1 0
20171017 93 69 80 3 1.2 49 47 2 0
20171018 90 67 58 3 1.2 46 26 3 0
20171019 77 56 52 2 1.2 38 54 4 0
20171020 129 98 96 2 1.4 48 55 5 0
20171021 97 72 66 3 1.3 38 69 6 1
20171022 57 39 58 4 1 45 25 7 1
20171023 52 36 47 2 0.6 39 50 1 0
20171024 94 70 69 3 1 47 63 2 0
20171025 144 110 104 3 1.3 56 34 3 0
20171026 202 152 132 3 1.6 69 24 4 0
20171027 220 170 146 3 1.6 68 44 5 0
20171028 59 42 38 2 0.6 26 55 6 1
20171029 35 8 25 3 0.4 28 56 7 1
20171030 59 18 44 4 0.5 47 43 1 0
20171031 92 62 106 5 1 73 9 2 0
20171101 99 64 100 3 1 79 29 3 0
20171102 72 51 86 6 0.9 57 55 4 0
20171103 39 8 29 2 0.4 31 61 5 0
20171104 69 37 64 5 0.8 55 44 6 1
20171105 133 101 119 7 1.3 71 36 7 1
20171106 202 152 165 5 1.5 71 53 1 0
20171107 107 80 71 3 0.9 44 64 2 0
20171108 65 20 47 6 0.8 52 29 3 0
20171109 79 52 93 6 1.4 63 20 4 0
20171110 37 7 37 2 0.3 15 57 5 0
20171111 47 18 39 4 0.4 37 36 6 1
20171112 80 56 93 6 1 64 14 7 1
20171113 60 26 69 3 0.6 30 61 1 0
20171114 34 10 30 3 0.5 27 61 2 0
20171115 48 16 39 3 0.5 38 58 3 0
20171116 92 58 88 10 1.3 73 19 4 0
20171117 54 22 58 4 0.6 31 64 5 0
20171118 57 40 63 7 0.6 36 59 6 1
20171119 120 91 120 8 1.3 74 17 7 1
20171120 138 105 133 10 1.8 85 28 1 0
20171121 152 116 160 12 1.8 86 47 2 0
20171122 33 7 33 3 0.3 18 61 3 0
20171123 30 7 30 3 0.4 21 54 4 0
20171124 51 21 51 7 0.6 35 50 5 0
20171125 74 39 79 8 1 59 26 6 1
20171126 33 12 31 3 0.4 26 61 7 1
20171127 94 70 97 10 1.4 72 13 1 0
20171128 63 37 75 4 0.8 38 64 2 0
20171129 45 14 36 4 0.5 36 43 3 0
20171130 55 26 53 7 0.7 44 58 4 0
20171201 98 73 106 11 1.3 71 23 5 0
20171202 202 152 188 17 2.3 108 11 6 1
20171203 67 48 58 6 0.8 39 63 7 1
20171204 30 6 22 2 0.4 17 60 1 0
20171205 63 26 52 7 0.7 50 44 2 0
20171206 54 24 54 8 0.8 43 58 3 0
20171207 27 9 26 5 0.4 21 51 4 0
20171208 57 23 50 6 0.8 45 38 5 0
20171209 74 34 63 9 1 59 25 6 1
20171210 46 7 46 3 0.3 15 69 7 1
20171211 33 6 21 3 0.3 17 66 1 0
20171212 42 14 29 5 0.6 33 35 2 0
20171213 65 32 50 8 0.9 52 22 3 0
20171214 97 72 86 19 1.8 70 13 4 0
20171215 51 33 52 7 0.8 34 57 5 0
20171216 36 8 36 3 0.3 12 64 6 1
20171217 68 28 54 7 0.8 54 56 7 1
20171218 47 12 47 4 0.4 21 63 1 0
20171219 65 38 72 9 0.8 52 33 2 0
20171220 53 20 43 5 0.6 42 64 3 0
20171221 98 51 76 13 1.3 78 20 4 0
20171222 72 36 62 9 1.1 57 62 5 0
20171223 79 32 58 11 1 63 19 6 1
20171224 49 13 49 4 0.4 16 73 7 1
20171225 62 31 51 10 0.7 49 43 1 0
20171226 59 23 43 7 0.7 47 47 2 0
20171227 99 74 85 11 1.5 71 15 3 0
20171228 143 109 123 13 1.9 70 19 4 0
20171229 225 175 192 6 2.9 86 11 5 0
20171230 145 111 77 5 2 62 52 6 1
20171231 64 33 67 6 0.9 51 35 7 1
20180101 59 36 67 11 1.2 47 44 1 1
20180102 48 26 48 7 0.9 35 50 2 0
20180103 29 11 28 5 0.5 23 55 3 0
20180104 45 15 29 5 0.5 36 42 4 0
20180105 68 33 57 9 1 54 39 5 0
20180106 52 16 30 6 0.6 41 53 6 1
20180107 59 38 57 11 0.9 47 55 7 1
20180108 55 12 60 4 0.3 12 66 1 0
20180109 35 7 35 3 0.3 14 69 2 0
20180110 34 6 23 3 0.3 10 68 3 0
20180111 34 12 25 5 0.5 27 61 4 0
20180112 94 59 88 12 1.4 75 23 5 0
20180113 135 103 129 16 1.8 86 18 6 1
20180114 175 132 106 13 1.8 77 46 7 1
20180115 64 32 57 9 1 51 45 1 0
20180116 114 45 178 6 0.8 46 60 2 0
20180117 76 41 101 9 1.1 54 67 3 0
20180118 100 63 106 12 1.3 80 21 4 0
20180119 104 78 119 16 1.6 79 40 5 0
20180120 65 30 74 10 0.9 52 35 6 1
20180121 64 37 77 21 1.3 48 32 7 1
20180122 50 23 50 5 0.7 28 71 1 0
20180123 33 10 30 4 0.4 16 66 2 0
20180124 40 18 34 6 0.5 32 72 3 0
20180125 37 9 22 4 0.4 29 68 4 0
20180126 58 27 40 8 0.6 46 45 5 0
20180127 108 81 94 15 1.5 73 15 6 1
20180128 57 11 64 3 0.4 16 72 7 1
20180129 55 8 60 4 0.4 22 67 1 0
20180130 37 10 35 6 0.4 26 74 2 0
20180131 62 21 73 7 0.5 32 71 3 0
20180201 67 30 83 11 0.8 39 70 4 0
20180202 37 8 29 5 0.4 12 74 5 0
20180203 36 8 20 5 0.4 22 71 6 1
20180204 44 19 37 9 0.6 35 60 7 1
20180205 37 7 18 3 0.3 17 73 1 0
20180206 72 44 58 14 0.9 57 46 2 0
20180207 50 32 50 9 0.7 35 83 3 0
20180208 73 52 82 12 1 58 54 4 0
20180209 79 40 108 9 0.7 35 81 5 0
20180210 43 10 43 4 0.4 13 81 6 1
20180211 66 9 82 5 0.3 7 80 7 0
20180212 52 12 54 6 0.4 17 79 1 0
20180213 80 59 81 14 1.2 62 55 2 0
20180214 40 13 34 4 0.4 19 80 3 0
20180215 73 53 68 13 0.6 24 87 4 1
20180216 105 79 102 15 0.6 26 93 5 1
20180217 110 83 94 12 1.4 38 54 6 1
20180218 152 116 119 16 1.9 50 88 7 1
20180219 188 141 128 26 2.2 46 76 1 1
20180220 64 46 43 7 0.7 23 92 2 1
20180221 48 33 43 7 0.6 29 88 3 1
20180222 46 17 46 6 0.5 31 82 4 0
20180223 53 23 55 6 0.6 32 86 5 0
20180224 62 30 74 11 0.7 23 71 6 0
20180225 82 60 74 11 0.9 47 72 7 1
20180226 165 125 130 22 1.7 75 94 1 0
20180227 219 169 180 13 2 56 72 2 0
20180228 117 88 125 10 1.1 37 80 3 0
20180301 50 17 50 4 0.4 18 87 4 0
20180302 105 79 105 19 1.1 56 71 5 0
20180303 221 171 200 19 2 79 57 6 1
20180304 129 58 207 7 0.9 38 51 7 1
20180305 90 48 129 9 0.9 45 71 1 0
20180306 63 45 65 12 0.9 41 69 2 0
20180307 65 47 64 10 0.8 50 48 3 0
20180308 63 45 63 6 0.7 37 76 4 0
20180309 138 105 114 13 1.3 72 79 5 0
20180310 156 119 121 16 1.5 63 110 6 1
20180311 87 64 78 18 1.4 50 65 7 1
20180312 195 146 118 11 1.7 75 88 1 0
20180313 294 244 217 11 2.1 100 153 2 0
20180314 288 238 0 17 2.6 79 82 3 0
20180315 54 20 58 3 0.4 18 93 4 0
20180316 56 32 62 8 0.6 30 95 5 0
20180317 83 61 58 5 0.9 62 29 6 1
20180318 138 105 0 3 1 56 88 7 1
20180319 94 70 49 4 0.8 47 97 1 0
20180320 46 23 46 4 0.5 34 87 2 0
20180321 80 59 82 9 0.9 56 75 3 0
20180322 114 86 106 8 1 67 106 4 0
20180323 144 110 133 11 1.4 90 64 5 0
20180324 120 91 101 10 1.2 63 118 6 1
20180325 78 57 95 7 0.7 59 128 7 1
20180326 160 122 147 13 1.1 76 140 1 0
20180327 249 199 224 12 1.4 103 119 2 0
20180328 500 144 917 6 0.9 52 75 3 0
20180329 110 39 170 13 0.9 46 88 4 0
20180330 69 43 84 8 0.6 55 104 5 0
20180331 134 102 155 13 1.1 84 120 6 1
